picUrl,name,profileLink,department,deptLink
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Kate Edmondson,https://pureportal.coventry.ac.uk/en/persons/kate-edmondson,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Sean Edmunds,https://pureportal.coventry.ac.uk/en/persons/sean-edmunds,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/44537005/DSC_0016.jpg,Alloysius Egbulonu,https://pureportal.coventry.ac.uk/en/persons/alloysius-egbulonu,"School of Economics, Finance and Accounting",https://pureportal.coventry.ac.uk/en/organisations/school-of-economics-finance-and-accounting
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Ashem Egila,https://pureportal.coventry.ac.uk/en/persons/ashem-egila-2,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/organisations/faculty-of-business-law
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Bernice Ejiogu,https://pureportal.coventry.ac.uk/en/persons/bernice-ejiogu,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Job Ekolu,https://pureportal.coventry.ac.uk/en/persons/job-ekolu,"Centre for Agroecology, Water and Resilience",https://pureportal.coventry.ac.uk/en/organisations/centre-for-agroecology-water-and-resilience-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Arinze Ekwem,https://pureportal.coventry.ac.uk/en/persons/arinze-ekwem,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/85156/photo.jpeg,Faris Elasha,https://pureportal.coventry.ac.uk/en/persons/faris-elasha,School of Mechanical Engineering,https://pureportal.coventry.ac.uk/en/organisations/school-of-mechanical-engineering
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Mahmoud Elbattah,https://pureportal.coventry.ac.uk/en/persons/mahmoud-elbattah,"School of Computing, Mathematics and Data Sciences",https://pureportal.coventry.ac.uk/en/organisations/school-of-computing-mathematics-and-data-sciences
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Omar El Houdna,https://pureportal.coventry.ac.uk/en/persons/omar-el-houdna,School of Art and Design,https://pureportal.coventry.ac.uk/en/organisations/school-of-art-and-design
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Simon Elliott,https://pureportal.coventry.ac.uk/en/persons/simon-elliott,School of Mechanical Engineering,https://pureportal.coventry.ac.uk/en/organisations/school-of-mechanical-engineering
